,timeJD,sunPX,sunPY,sunPZ,earthPX,earthPY,earthPZ,scp1X,scp1Y,scp1Z,scv1X,scv1Y,scv1Z,scp2X,scp2Y,scp2Z,scv2X,scv2Y,scv2Z,scp3X,scp3Y,scp3Z,scv3X,scv3Y,scv3Z
1969,2463822.0,-0.00508034036867,-0.0014163187169,-0.000454458005955,0.7669749461888238,-0.6035192650883294,-0.2614515875050857,0.494549673662,-0.7906877793289999,-0.34963022733099997,0.0149608157359,0.00784883811456,0.0035019264741599997,0.48250555908200005,-0.8022566122560001,-0.34900324284999995,0.0149815246505,0.007810292862880001,0.00323188815472,0.496447004393,-0.804065116777,-0.339911971269,0.014848694534200001,0.007783561581350001,0.0034297316204
1970,2463823.0,-0.00508189295213,-0.0014223005903900002,-0.00045701900355,0.7777245142076894,-0.5914789125001666,-0.2562319217653317,0.5094352247839999,-0.782721594157,-0.346076387799,0.0148095502814,0.00808312959324,0.00360557299419,0.497414272055,-0.794328310512,-0.34571998578100005,0.014835160529399998,0.00804592918273,0.0033344682212700003,0.511221997329,-0.796165116706,-0.336433002331,0.014700576651299998,0.00801605159821,0.00352803590929
1971,2463824.0,-0.00508343453044,-0.00142828555267,-0.000459581546535,0.788253175329442,-0.5792707174926128,-0.2509394553981337,0.524167309678,-0.774522337032,-0.34241944567000004,0.014653891230799998,0.00831497043066,0.0037081265422199998,0.512174405546,-0.786165528572,-0.34233462706600004,0.014684372669600002,0.008279241479859999,0.0034360863208200004,0.525846735598,-0.7880337985320001,-0.332856244804,0.014548192514899999,0.008246186784399999,0.0036253041483200006
1972,2463825.0,-0.00508496515909,-0.0014342735852100003,-0.00046214562301899996,0.7985577578888408,-0.5668976296525742,-0.2455755127402657,0.538741558824,-0.7660924932250001,-0.338660509233,0.014493886958000001,0.00854429150647,0.00380955654606,0.526781556992,-0.77777062568,-0.33884814400200003,0.0145292036479,0.008510159414739999,0.00353671184179,0.540316975085,-0.779673549982,-0.329182748639,0.0143915865959,0.008473901460279999,0.0037215085844799997
1973,2463826.0,-0.0050864848889,-0.0014402646736599999,-0.0004647112238369999,0.8086350276782774,-0.5543626884329473,-0.2401414556341396,0.5531536517319999,-0.757434616715,-0.334800717166,0.014329587144299999,0.008771024521639999,0.00390983279964,0.541231367082,-0.769146031101,-0.33526154436,0.0143696973909,0.0087386132942,0.00363631443913,0.554628516728,-0.7710868241169999,-0.32541359138799997,0.014230804529200001,0.008699130643549999,0.0038166217709200002
1974,2463827.0,-0.00508799376575,-0.00144625880683,-0.00046727834200099996,0.8184817136657893,-0.5416690514273129,-0.2346386921948697,0.567399318242,-0.7485513293639999,-0.330841238165,0.0141610427611,0.00899510201946,0.0040089254722000004,0.555519521102,-0.760294243459,-0.331575866124,0.014205899163799999,0.008964534093760001,0.00373486404403,0.568777207677,-0.7622761386229999,-0.321549877895,0.014065893101299999,0.00892181006598,0.00391061657394
1975,2463828.0,-0.00508949183054,-0.0014522559756199999,-0.000469846972171,0.8280945389466058,-0.5288200105013247,-0.2290686814161975,0.581474339798,-0.739445320057,-0.326783270568,0.0139883060514,0.00921645740599,0.0041068051173899995,0.569641750269,-0.751217830059,-0.327792177201,0.014037855559399999,0.00918785347997,0.00383233087361,0.5827589424390001,-0.753244075093,-0.317592739976,0.013896900237499999,0.009141876189819998,0.00400346617997
1976,2463829.0,-0.00509097911934,-0.0014582561721900001,-0.00047241711015800006,0.8374702512998359,-0.5158189971856763,-0.2234329342094596,0.595374550721,-0.730119343836,-0.32262804196199996,0.013811430511399998,0.009435024970379999,0.00420344268222,0.583593833051,-0.741919426185,-0.323911575135,0.0138656144868,0.00940850383247,0.0039286854405000005,0.596569664011,-0.743993278282,-0.3135433361,0.0137238749878,0.00935926622416,0.00409514410243
1977,2463830.0,-0.005092455663770001,-0.00146425938921,-0.00047498875249,0.8466056502421712,-0.5026695802469211,-0.2177330119172532,0.609095839441,-0.720576221003,-0.318376808785,0.013630470872200002,0.009650739904639999,0.00429880951581,0.597371596477,-0.732401734376,-0.319935186805,0.013689225158599999,0.00962641826604,0.00402389856246,0.610205364995,-0.734526455359,-0.309402851054,0.0135468675145,0.00957391814102,0.00418562418851
1978,2463831.0,-0.00509392149143,-0.00147026561923,-0.00047756189604900007,0.8554976095958124,-0.4893754582355162,-0.21197052325724802,0.622634149734,-0.7108188362090001,-0.314030855925,0.013445483080000003,0.00986353832315,0.004392877378020001,0.6109709174369999,-0.722667523678,-0.315864168117,0.0135087380795,0.00984153065243,0.00411794137183,0.623662088706,-0.724846375131,-0.30517249561,0.0133659290774,0.00978577069124,0.0042748806259
1979,2463832.0,-0.00509537662639,-0.00147627485428,-0.00048013653777499997,0.8641430957213277,-0.4759404489807543,-0.2061471203497704,0.635985481918,-0.700850137521,-0.309591496298,0.0132565242766,0.0100733572818,0.0044856184478900005,0.624387723965,-0.712719628879,-0.311699703684,0.0133242050319,0.010053775642000001,0.00421078532495,0.636935930264,-0.714955867259,-0.300853506177,0.013181112020600001,0.009994763420219998,0.0043628879493699995
1980,2463833.0,-0.005096821089779999,-0.0014822870855399999,-0.000482712674443,0.8725391818554316,-0.4623684771997612,-0.2002644942085265,0.6491458940429999,-0.690673135471,-0.30506007043,0.013063652779999999,0.010280134796600001,0.00457700533189,0.637617996513,-0.702560949718,-0.307443006493,0.013135679063799999,0.010263088685200001,0.00430240221159,0.650023037667,-0.7048578214550001,-0.296447144457,0.012992469757900001,0.0102008366834,0.00444962104733
1981,2463834.0,-0.00509825490022,-0.00148830230312,-0.00048529030250300006,0.8806830588674401,-0.4486635609397456,-0.1943243699267184,0.662111503059,-0.680290902088,-0.300437946021,0.012866928063299999,0.0104838098624,0.0046670110720799995,0.6506577692050001,-0.692194450076,-0.303095317576,0.0129432144738,0.010469406054200001,0.00439276416418,0.662919612856,-0.694555186663,-0.291954697079,0.0128000567584,0.0104039316617,0.00453505516824
1982,2463835.0,-0.00509967807437,-0.001494320496,-0.0004878694179709999,0.8885720425907591,-0.4348297974717226,-0.1883285017600116,0.674878485954,-0.66970656991,-0.29572651751,0.012666410734899998,0.0106843224704,0.00475560915401,0.6635031310849999,-0.681623157139,-0.298657905652,0.012746866797499999,0.010672664863400001,0.0044818436670499995,0.675621912764,-0.684050970229,-0.287377475245,0.0126039285319,0.010603990376299999,0.00461916592702
