,JDTimeTCB,sunPX,sunPY,sunPZ,earthPX,earthPY,earthPZ,scp1X,scp1Y,scp1Z,scv1X,scv1Y,scv1Z,scp2X,scp2Y,scp2Z,scv2X,scv2Y,scv2Z,scp3X,scp3Y,scp3Z,scv3X,scv3Y,scv3Z
0,2461853.0,0.0010105145140467948,-0.002664701317785545,-0.0011101469525612699,-0.994955911683962,-0.03449701615624588,-0.01490317806253193,-0.941923243796272,-0.3087259639458645,-0.1346261842170984,0.00583896440691733,-0.01477460940026354,-0.006592457610906832,-0.9416820858170676,-0.3285931590164144,-0.13247587423406598,0.00593796923944995,-0.01474254752190082,-0.006313488323206386,-0.9317022517104958,-0.3201477858665985,-0.1476031788844818,0.006010827095128911,-0.014895938580841782,-0.006350074449564831
1,2461853.025,0.0010105657545293949,-0.0026645792275367623,-0.001110095695054531,-0.9949478949100689,-0.03489288700502414,-0.0150747957364366,-0.9417771825807428,-0.3090953008897348,-0.134790983315426,0.005845932664255757,-0.01477234565142541,-0.006591470051002012,-0.9415335509873364,-0.328961693091552,-0.1326336995062244,0.005944816955831645,-0.014740178043911359,-0.0063125332587767365,-0.9315518937739812,-0.3205201546110242,-0.1477619170325793,0.006017807633514476,-0.014893560510224332,-0.0063489772009245994
2,2461853.05,0.001010616988535754,-0.002664457135963727,-0.001110044436833223,-0.9949396913111168,-0.03528875236523936,-0.015246410998508231,-0.9416309471716234,-0.3094645812055408,-0.1349557577094342,0.005852899893900655,-0.014770079155182818,-0.00659048126538477,-0.9413848449784424,-0.3293301678963521,-0.1327915008874715,0.005951663572268405,-0.014737805894977491,-0.006311577050336457,-0.9314013613384516,-0.3208924638689625,-0.1479206277346637,0.006024787016113627,-0.014891179661935618,-0.006347878768557953
3,2461853.075,0.001010668216065667,-0.002664335043067206,-0.001109993177897675,-0.9949313008897648,-0.03568461215969996,-0.015418023814856859,-0.9414845375946228,-0.3098338048246021,-0.1351205073684823,0.005859866094546866,-0.01476780991191424,-0.006589491254219813,-0.9412359678178992,-0.3296985833640467,-0.1329492783492093,0.005958509087542589,-0.014735431075539441,-0.0063106196980633935,-0.931250654432818,-0.3212647135709777,-0.1480793109611446,0.0060317652416115326,-0.01488879603645147,-0.006346779152683585
4,2461853.1,0.0010107194371189278,-0.002664212948847969,-0.001109941918248217,-0.9949227236487242,-0.03608046631120634,-0.0155896341515899,-0.941337953875482,-0.3102029716782478,-0.1352852322619337,0.0058668312648893816,-0.01476553792199865,-0.006588500017672078,-0.9410869195332516,-0.3300669394278785,-0.1331070318628442,0.005965353500436761,-0.01473305358603785,-0.006309661202135594,-0.9310997730860244,-0.3216369036476457,-0.1482379666824371,0.006038742308693606,-0.01488640963424828,-0.006345678353520415
5,2461853.125,0.001010770651695333,-0.0026640908533067807,-0.00110989065788518,-0.994913959590758,-0.036476314742550836,-0.01576124197481219,-0.941191196039975,-0.3105720816978164,-0.1354499323591558,0.005873795403623346,-0.014763263185815582,-0.006587507555906736,-0.940937700152074,-0.3304352360211017,-0.1332647613997871,0.005972196809733689,-0.01473067342691385,-0.006308701562731299,-0.9309487173270478,-0.3220090340295547,-0.1483965948689617,0.006045718216045509,-0.014884020455802931,-0.00634457637128759
6,2461853.15,0.0010108218597946789,-0.002663968756444411,-0.001109839396808892,-0.994905008718682,-0.03687215737651786,-0.015932847250626003,-0.9410442641139084,-0.3109411348146562,-0.1356146076295202,0.00588075850944406,-0.014760985703745068,-0.0065865138690891925,-0.9407883097019718,-0.3308034730769811,-0.1334224669314532,0.005979039014216349,-0.014728290598609018,-0.006307740780028945,-0.9307974871848976,-0.3223811046473045,-0.1485551954911444,0.0060526929623531565,-0.014881628501592881,-0.006343473206204488
7,2461853.175,0.0010108730614167619,-0.0026638466582616263,-0.001109788135019684,-0.9948958710353644,-0.03726799413588392,-0.01610444994513109,-0.9408971581231212,-0.3113101309601245,-0.1357792580424028,0.005887720581046972,-0.014758705476167668,-0.006585518957385081,-0.9406387482105802,-0.3311716505287926,-0.1335801484292625,0.005985880112667923,-0.01472590510156539,-0.006306778854207166,-0.9306460826886164,-0.32275311543150703,-0.1487137685194167,0.006059666546302706,-0.01487923377209611,-0.006342368858490707
8,2461853.2,0.00101092425656138,-0.002663724558759194,-0.001109736872517886,-0.9948865465437262,-0.0376638249434177,-0.01627605002442471,-0.9407498780934854,-0.3116790700655885,-0.1359438835671835,0.005894681617127688,-0.01475642250346446,-0.006584522820960273,-0.9404890157055656,-0.3315397683098235,-0.1337378058646391,0.005992720103871799,-0.014723516936225459,-0.006305815785444791,-0.9304945038672796,-0.3231250663127859,-0.1488723139242155,0.006066638966580571,-0.01487683626779111,-0.006341263328366075
9,2461853.225,0.00101097544522833,-0.0026636024579378826,-0.001109685609303827,-0.9948770352467406,-0.03805964972188011,-0.016447647454601682,-0.9406024240509052,-0.3120479520624248,-0.1361084841732462,0.005901641616381967,-0.01475413678601705,-0.006583525459980869,-0.940339112214624,-0.3319078263533718,-0.1338954392090117,0.005999558986611571,-0.014721126103032169,-0.006304851573920845,-0.9303427507499956,-0.3234969572217771,-0.1490308316759834,0.006073610221873412,-0.01487443598915694,-0.00634015661605065
10,2461853.25,0.001011026627417413,-0.0026634803557984603,-0.0011096343453778391,-0.9948673371474336,-0.03845546839402434,-0.01661924220175438,-0.9404547960213174,-0.3124167768820197,-0.1362730598299793,0.00590860057750572,-0.01475184832420756,-0.006582526874613203,-0.9401890377654822,-0.3322758245927467,-0.1340530484338136,0.00600639675967104,-0.014718732602428931,-0.006303886219814547,-0.9301908233659052,-0.3238687880891283,-0.1491893217451683,0.00608058031086814,-0.01487203293667316,-0.006339048721764713
11,2461853.275,0.001011077803128426,-0.002663358252341694,-0.00110958308074025,-0.9948574522488836,-0.038851280882595964,-0.01679083423197283,-0.9403069940306918,-0.3127855444557687,-0.1364376105067751,0.005915558499195016,-0.01474955711841863,-0.006581527065023844,-0.9400387923858978,-0.3326437629612685,-0.1342106335104824,0.006013233421834213,-0.01471633643485961,-0.006302919723305314,-0.9300387217441825,-0.3242405588454994,-0.1493477841022237,0.006087549232251915,-0.014869627110819891,-0.006337939645728775
12,2461853.3,0.001011128972361171,-0.002663236147568351,-0.00110953181539139,-0.994847380554222,-0.0392470871103329,-0.01696242351134465,-0.9401590181050304,-0.3131542547150773,-0.13660213617303002,0.005922515380146074,-0.01474726316903345,-0.006580526031379589,-0.939888376103658,-0.3330116413922687,-0.1343681944104604,0.006020068971885307,-0.01471393760076851,-0.006301952084572757,-0.9298864459140336,-0.3246122694215619,-0.1495062187176087,0.006094516984712149,-0.014867218512077769,-0.006336829388163572
13,2461853.325,0.001011180135115447,-0.002663114041479199,-0.0011094805493315901,-0.9948371220666326,-0.03964288699996563,-0.017134010005955182,-0.9400108682703682,-0.3135229075913603,-0.13676663679814502,0.005929471219055271,-0.01474496647643568,-0.006579523773847472,-0.9397377889465812,-0.3333794598190897,-0.1345257311051941,0.006026903408608743,-0.01471153610060042,-0.006300983303796685,-0.9297339959046989,-0.3249839197479999,-0.1496646255617877,0.006101483566936505,-0.014864807140927968,-0.006335717949290067
14,2461853.35,0.001011231291391056,-0.0026629919340750057,-0.0011094292825611812,-0.9948266767893524,-0.04003868047421711,-0.01730559368188745,-0.9398625445527722,-0.3138915030160422,-0.1369311123515247,0.0059364260146191365,-0.01474266704100956,-0.006578520292594757,-0.9395870309425156,-0.3337472181750851,-0.1346832435661347,0.006033736730789154,-0.01470913193480056,-0.006300013381157099,-0.9295813717454496,-0.3253555097555089,-0.1498230046052308,0.006108448977612896,-0.01486239299785219,-0.006334605329329449
15,2461853.375,0.0010112824411878,-0.002662869825356541,-0.001109378015080491,-0.9948160447256712,-0.04043446745580291,-0.01747717450522225,-0.9397140469783426,-0.3142600409205571,-0.1370955628025784,0.005943379765534358,-0.0147403648631398,-0.00657751558778894,-0.9394361021193398,-0.3341149163936198,-0.1348407317647379,0.006040568937211372,-0.014706725103814619,-0.006299042316834197,-0.929428573465592,-0.3257270393747971,-0.1499813558184136,0.006115413215429489,-0.01485997608333269,-0.006333491528503136
16,2461853.4,0.001011333584505481,-0.002662747715324569,-0.001109326746889851,-0.9948052258789308,-0.040830247867431266,-0.01764875244203815,-0.9395653755732118,-0.3146285212363487,-0.1372599881207193,0.005950332470497776,-0.01473805994321166,-0.0065765096595977535,-0.9392850025049632,-0.3344825544080697,-0.1349981956724639,0.006047400026660448,-0.01470431560808875,-0.006298070111008377,-0.929275601094463,-0.3260985085365842,-0.1501396791718172,0.006122376279074698,-0.014857556397852231,-0.0063323765470327704
17,2461853.425,0.0010113847213439019,-0.00266262560397986,-0.0011092754779895911,-0.9947942202525272,-0.04122602163180312,-0.01782032745841153,-0.9394165303635448,-0.3149969438948704,-0.1374243882753648,0.005957284128206389,-0.014735752281610918,-0.006575502508189158,-0.939133732127325,-0.3348501321518218,-0.1351556352607773,0.006054229997921633,-0.01470190344806954,-0.0062970967638602245,-0.9291224546614338,-0.3264699171716024,-0.1502979746359284,0.006129338167237193,-0.014855133941894109,-0.006331260385140221
18,2461853.45,0.001011435851702867,-0.002662503491323182,-0.001109224208380041,-0.9947830278499086,-0.04162178867161222,-0.017991899520416618,-0.9392675113755394,-0.3153653088275852,-0.1375887632359367,0.005964234737357348,-0.014733441878723882,-0.006574494133731349,-0.9389822910143952,-0.3352176495582744,-0.1353130505011474,0.006061058849780389,-0.01469948862420405,-0.006296122275570524,-0.9289691341959078,-0.3268412652105957,-0.1504562421812393,0.006136298878605896,-0.014852708715942181,-0.006330143043047586
19,2461853.475,0.0010114869755821802,-0.0026623813773553,-0.001109172938061532,-0.9947716486745763,-0.04201754890954515,-0.01816346859412554,-0.9391183186354258,-0.3157336159659657,-0.1377531129718607,0.005971184296647964,-0.01473112873493735,-0.006573484536392753,-0.9388306791941744,-0.33558510656083695,-0.1354704413650478,0.0060678865810223845,-0.0146970711369398,-0.006295146646320259,-0.9288156397273212,-0.3272125525843203,-0.1506144817782476,0.006143258411869978,-0.01485028072048079,-0.006329024520977187
