,timeJD,sunPX,sunPY,sunPZ,earthPX,earthPY,earthPZ,scp1X,scp1Y,scp1Z,scv1X,scv1Y,scv1Z,scp2X,scp2Y,scp2Z,scv2X,scv2Y,scv2Z,scp3X,scp3Y,scp3Z,scv3X,scv3Y,scv3Z
0,2461853.0,0.0010105145140467948,-0.002664701317785545,-0.0011101469525612699,-0.994955911683962,-0.03449701615624588,-0.01490317806253193,-0.941923243796272,-0.3087259639458645,-0.1346261842170984,0.00583896440691733,-0.01477460940026354,-0.006592457610906832,-0.9416820858170676,-0.3285931590164144,-0.13247587423406598,0.00593796923944995,-0.01474254752190082,-0.006313488323206386,-0.9317022517104958,-0.3201477858665985,-0.1476031788844818,0.006010827095128911,-0.014895938580841782,-0.006350074449564831
1,2461854.0,0.001012559079908355,-0.002659816682501719,-0.0011080960981881339,-0.9944895482625136,-0.05032680567807303,-0.02176566873869384,-0.9359451811556382,-0.3234545941222428,-0.1411985764308667,0.0061168802186204,-0.014681920258231281,-0.006552000807574768,-0.9356074474960095,-0.3432876325035854,-0.138769968070748,0.006211007926280084,-0.014645689456656369,-0.006274395192764713,-0.9255521136594752,-0.3349954512540253,-0.15393100506843801,0.00628913414947059,-0.014798653922575991,-0.006305263378772561
2,2461855.0,0.001014593271828232,-0.00265492997631231,-0.001106044121110833,-0.9937245049012882,-0.0661429868796435,-0.02862218286455089,-0.9296900585411844,-0.3380883472804142,-0.1477295356466163,0.006393070497696005,-0.014584859614863182,-0.00650959346714973,-0.9292606818375108,-0.3578831227819487,-0.145024058265422,0.006482211012262097,-0.014544585986811541,-0.00623348301641034,-0.9191246270690272,-0.3497436224175586,-0.1602130789692394,0.006565510253446317,-0.014696955426912831,-0.006258572308836286
3,2461856.0,0.001016617079005444,-0.002650041248285212,-0.001103991042480307,-0.9926611533905749,-0.08194059716510836,-0.03547054598639339,-0.9231596429856596,-0.3526228648938646,-0.1542171169830043,0.006667452315231176,-0.014483453641425231,-0.006465246999972554,-0.9226436630568436,-0.3723753992877167,-0.1512363317866932,0.006751501360978667,-0.01443926698693124,-0.006190763905916646,-0.9124217645395422,-0.3643879016266441,-0.1664475279602963,0.006839872219476311,-0.01459087553238844,-0.006210016080486434
4,2461857.0,0.001018630492287818,-0.0026451505473177018,-0.001101936883413113,-0.9913000091214129,-0.09771466758135987,-0.04230858470706974,-0.916355784232396,-0.3670538152713955,-0.16065938726519902,0.006939943183311751,-0.014377729836450191,-0.006418973408366774,-0.9157583422251772,-0.3867602619089989,-0.1574049879625463,0.007018802400275616,-0.014329763484751002,-0.006146250467659259,-0.9054455815171955,-0.3789239242616945,-0.1726324945416569,0.007112137547948299,-0.01448044802026645,-0.006159610105303661
5,2461858.0,0.001020633504195173,-0.002640257922008585,-0.001099881664927337,-0.9896417356279305,-0.1134602323236941,-0.04913413168317788,-0.9092804142812966,-0.3813768948818213,-0.1670544256157563,0.007210461081045067,-0.01426771702052584,-0.006370785284393553,-0.9086067466956714,-0.4010335421344511,-0.1635282389730997,0.0072840381415233794,-0.01421610765209445,-0.006099955798901821,-0.8981982155928945,-0.3933473601503408,-0.1787661369079318,0.007382224453337264,-0.01436570800151195,-0.006107370359835954
6,2461859.0,0.001022626108930891,-0.0026353634205180058,-0.001097825407870774,-0.9876871478834668,-0.1291723399517264,-0.05594503134140942,-0.9019355469088136,-0.3955878296732343,-0.1734003240431528,0.007478924480554637,-0.014153445330641268,-0.006320695807409894,-0.90119097951039,-0.4151911041927244,-0.1696043103395935,0.00754713319871108,-0.01409833279555599,-0.006051893483980619,-0.8906818857752689,-0.40765391489043495,-0.1848466295102412,0.0076500518899944485,-0.01424669190331939,-0.0060533133795272285
7,2461860.0,0.0010246083023787449,-0.002630467090414422,-0.001095768132840813,-0.9854372136631956,-0.1448460660950141,-0.06273914614611945,-0.8943232771619507,-0.4096823763863946,-0.1796951880277788,0.00774525237293722,-0.01403494621408948,-0.006268718741429268,-0.8935132187882064,-0.4292288461824802,-0.1756314414095135,0.0078080128073712545,-0.013976473346951141,-0.006002077590389135,-0.8828988917380405,-0.4218393311593601,-0.1908721636119979,0.007915539577596123,-0.01412343745520251,-0.005997456252460903
8,2461861.0,0.001026580082081207,-0.002625568978508525,-0.001093709860095508,-0.9828930524999272,-0.1604765272729855,-0.06951436319348092,-0.8864457808263299,-0.4236563238617997,-0.1859371371051919,0.008009364294172629,-0.01391225242192456,-0.006214868432283884,-0.8855757170938681,-0.4431427011927405,-0.1816078858377488,0.00806660284333326,-0.01385056485353673,-0.005950522664763536,-0.8748516130421194,-0.4358993900092155,-0.1968409478383432,0.008178608026242904,-0.013995983674654329,-0.005939816612922118
9,2461862.0,0.001028541447194716,-0.0026206691306743827,-0.001091650609455516,-0.9800559319388594,-0.1760588954706132,-0.07626860093150271,-0.8783053138683774,-0.43750549433998803,-0.1921243054464345,0.008271180350976485,-0.01378539800197202,-0.006159159804587901,-0.8773808007883961,-0.4569286384133449,-0.1875319120636865,0.008322829841303496,-0.01372064396800372,-0.005897243728770079,-0.8665425083327797,-0.4498299121474497,-0.2027512087190549,0.008439178561200638,-0.01386437085238553,-0.005880412634782196
10,2461863.0,0.001030492398416562,-0.00261576759165873,-0.001089590400196828,-0.9769272607920372,-0.1915884132318694,-0.08299981586376809,-0.8699042118516888,-0.4512257447546286,-0.1982548424352137,0.008530621246586037,-0.01365441829139078,-0.006101608358500969,-0.8689308693609903,-0.4705826642352862,-0.193401803784145,0.00857662101327055,-0.01358674843824456,-0.0058422562748954455,-0.857974114512275,-0.4636267592025252,-0.2086011912247537,0.008697173347274205,-0.013728640537149759,-0.005819263024709117
11,2461864.0,0.001032432937877226,-0.002610864404880283,-0.001087529250934675,-0.9735085788273552,-0.2070604090850846,-0.08970600909765693,-0.8612448893276461,-0.4648129680179488,-0.2043269132417457,0.008787608306469026,-0.01351934990878595,-0.006042230166291574,-0.8602283947426183,-0.4841008233407037,-0.1992158604220494,0.008827904266733484,-0.013448917096897741,-0.005785576262140932,-0.8491490458882697,-0.4772858349742045,-0.2143891592962334,0.008952515412805841,-0.01358883552016436,-0.00575638701520781
12,2461865.0,0.0010343630689912061,-0.0026059596122222717,-0.001085467179499577,-0.9698015418790978,-0.2224703128617295,-0.09638523243733617,-0.8523298392003683,-0.4782630942980487,-0.2103386993930621,0.009042063503945565,-0.01338023074587137,-0.0059810418686997505,-0.8512759206014655,-0.4974791997823086,-0.2049723975907538,0.00907660822275144,-0.013307189850671591,-0.005727220111621479,-0.8400699932984615,-0.4908030866680597,-0.2201133963667491,0.009205128673289872,-0.013444999819135559,-0.005691804357494099
13,2461866.0,0.001036282796258681,-0.002601053253823043,-0.001083404202807327,-0.9658079010383216,-0.2378136697079237,-0.1030355933247525,-0.8431616320660892,-0.4915720922876537,-0.2162883993395797,0.00929390948571283,-0.01323709995868123,-0.005918060671098832,-0.8420760616204247,-0.5107139180520252,-0.2106697475539147,0.009322662233812866,-0.01316160766944965,-0.005667204702070439,-0.8307397232117854,-0.504174506113812,-0.22577220587709698,0.009454937954596085,-0.01329717866189672,-0.005625535314206269
14,2461867.0,0.0010381921250100221,-0.002596145367871781,-0.001081340336725868,-0.9615294749008436,-0.253086150311155,-0.10965525734183,-0.8337429155270609,-0.5047359704638525,-0.2221742290177305,0.009543069597262357,-0.0130899979583305,-0.005853304339456012,-0.8326315027568086,-0.5238011441386279,-0.2163062596808234,0.009565996401522614,-0.013012212575179859,-0.00560554736525102,-0.8211610768065907,-0.51739613096712,-0.2313639117833261,0.009701869015794201,-0.01314541846966918,-0.005557600651958216
15,2461868.0,0.001040091061085273,-0.002591235990419031,-0.001079275595943392,-0.9569681154116024,-0.2682835535027109,-0.1162424464637083,-0.8240764134801006,-0.5177507783383705,-0.2279944224084519,0.009789467908179621,-0.01293896640132385,-0.005786791196091606,-0.8229449984844659,-0.5367370865741622,-0.2218803008971026,0.00980654159410525,-0.01285904763054977,-0.00554226588127536,-0.8113369690261999,-0.5304640458944451,-0.2368868590569267,0.009945848571572284,-0.01298976683995452,-0.005488021633738255
16,2461869.0,0.001041979610441684,-0.002586325155214874,-0.001077209993843818,-0.952125670827889,-0.2834017969544056,-0.1227954312987655,-0.814164925379899,-0.5306126076979245,-0.23374723209133602,0.01003302923731552,-0.01278404817941323,-0.0057185401152370224,-0.8130193720184874,-0.5495179974689322,-0.2273902561306769,0.010044229463722909,-0.01270215692744996,-0.005477378473832087,-0.8012703876122518,-0.5433743837406269,-0.2423394141773409,0.01018680431424213,-0.012830272529067979,-0.005416820011157706
17,2461870.0,0.001043857778684424,-0.002581412893591052,-0.001075143542397849,-0.9470039528096208,-0.2984368934099698,-0.1293125166884717,-0.8040113254772269,-0.5433175938342124,-0.2394309297942352,0.010273679177819229,-0.01262528740900439,-0.005648570518391559,-0.8028575145226875,-0.5621401735348488,-0.2328345287529252,0.01027899246360602,-0.01254158557522793,-0.005410903805323331,-0.7909643921162494,-0.5561233266788183,-0.2477199656166487,0.01042466493532505,-0.012666985434322391,-0.005344018016553435
18,2461871.0,0.001045725570519269,-0.002576499234406951,-0.001073076252080114,-0.9416047164169788,-0.3133849141740412,-0.1357920222681922,-0.7936185620321822,-0.5558619167630816,-0.2450438069381253,0.01051134412202194,-0.01246272942011292,-0.005576902369478244,-0.7924623843000488,-0.5745999570969268,-0.2382115410149257,0.01051076386499514,-0.01237737968873452,-0.005342860971912064,-0.7804221128897354,-0.5687071073424325,-0.2530269243162861,0.01065936014671162,-0.0124999565758722,-0.005269638354948549
19,2461872.0,0.001047582989131627,-0.00257158420408259,-0.001071008131825205,-0.9359296596101578,-0.3282419468124009,-0.1422322619325192,-0.7829896565026321,-0.5682418024324298,-0.2505841751770235,0.010745951286160509,-0.01229642074487048,-0.005503556169799033,-0.7818370059663206,-0.5868937370927257,-0.2435197344787026,0.010739477773892241,-0.01220958637616492,-0.005273269498480638,-0.7696467500535229,-0.5811220099387691,-0.258258724155654,0.01089082070138926,-0.01232923807822737,-0.005193704195875496
20,2461873.0,0.00104943003550405,-0.002566667826743964,-0.001068939189037413,-0.9299804427571444,-0.3430040569864016,-0.1486315270559329,-0.7721277027080158,-0.5804535239183869,-0.256050366932761,0.01097742873493051,-0.01212640910558206,-0.005428552952789704,-0.7709844696069621,-0.5990179500595298,-0.24875757044338898,0.010965069147619579,-0.0120382537266962,-0.005202149333501341,-0.7586415724464163,-0.5933643713439923,-0.263413822412483,0.011118978413731759,-0.01215488315144664,-0.005116239165065764
21,2461874.0,0.0010512667076945119,-0.002561750124506362,-0.001066869429670158,-0.9237587218787516,-0.3576672627846413,-0.154988076973296,-0.7610358659686857,-0.5924934026093301,-0.2614407359244114,0.01120570540585754,-0.011952743402335259,-0.005351914278574883,-0.7599079299176231,-0.6109690811090647,-0.2539235303662148,0.01118747381118438,-0.01186343079792314,-0.005129520843819737,-0.7474099165538655,-0.6054305821791465,-0.2684907002148235,0.01134376617934527,-0.01197694607201989,-0.005037267336010422
22,2461875.0,0.001053093000109693,-0.002556831117918507,-0.001064798858390861,-0.9172661858863304,-0.3722275247573457,-0.1613001374235794,-0.7497173822209703,-0.6043578093772853,-0.2667536576921739,0.01143071113347603,-0.01177547370016281,-0.0052736622283237064,-0.7486106053283588,-0.6227436648895495,-0.2590161162782364,0.01140662847344766,-0.01168516760309417,-0.005055404809351561,-0.7359551854169972,-0.6173170878669026,-0.2734878629845337,0.01156511799446535,-0.01179548216344935,-0.004956813221395729
23,2461876.0,0.00105490890282033,-0.002551910826583446,-0.001062727478844629,-0.9105045892829527,-0.3866807494178783,-0.1675659051302823,-0.7381755571081609,-0.6160431657362679,-0.2719875301155126,0.01165237667330485,-0.01159465121575992,-0.00519381939840676,-0.7370957771117732,-0.634338286534886,-0.264033851194719,0.01162247074309545,-0.0115035150981491,-0.004979822417693878,-0.7242808475224755,-0.6290203896687393,-0.2784038408721415,0.01178296897490027,-0.01161054777653935,-0.004874901764418057
24,2461877.0,0.001056714400977568,-0.0025469892699601718,-0.001060655294025012,-0.9034757758607629,-0.4010228009955155,-0.1737835556019888,-0.726413765047628,-0.6275459449871186,-0.2771407739253542,0.011870633725608629,-0.0114103283037581,-0.005112408894355054,-0.725366788475292,-0.6457495826007865,-0.2689752795200885,0.01183493914441079,-0.011318525168560491,-0.004902795258651272,-0.7123904356736489,-0.6405370457022722,-0.2832371891829638,0.01199725537451611,-0.01142220026940456,-0.004791558329982461
